Issue #,OriginationPhase,DetectionPhase,Category,Priority,Status,Created_at,Closed_at,Author
118,Testing,Field,Bug,Medium,Completed,5/20/2017,6/23/2017,Michelle
119,Documentation,Field,Enhancement,Major,pendingReview,5/21/2017,,Robert
120,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Christopher
121,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,William
122,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
123,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Michelle
124,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Brent
125,Design,Coding,Inquiry,High,inProgress,3/1/2017,,Orlando
126,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
127,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
128,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
129,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherinee
130,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
131,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
132,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Victor
133,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,Justin
134,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
135,Design,Testing,Enhancement,High,Approved,4/11/2017,4/12/2017,Michelle
136,Requirements,Design,Inquiry,Low,Rejected,4/12/2017,4/13/2017,Smith
137,Testing,Field,Bug,Medium,Completed,4/13/2017,4/14/2017,Kim
138,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
139,Design,Testing,Inquiry,Critical,Approved,3/15/2017,,David
140,Requirements,Coding,Bug,High,inProgress,7/16/2017,8/24/2017,Michelle
141,Requirements,Design,Inquiry,Low,Rejected,7/17/2017,8/25/2017,Smith
142,Testing,Field,Bug,Medium,Rejected,7/18/2017,8/26/2017,Michelle
143,Documentation,Field,Enhancement,Major,Rejected,7/19/2017,8/27/2017,Roy
144,Design,Coding,Inquiry,High,Rejected,7/20/2017,8/28/2017,Derek
145,Requirements,Testing,Bug,High,Completed,7/21/2017,8/29/2017,Lindsey
146,Testing,Field,Bug,Medium,Completed,7/22/2017,8/30/2017,Joseph
147,Documentation,Field,Enhancement,Major,pendingReview,7/23/2017,,Roy
148,Design,Coding,Inquiry,High,inProgress,8/1/2017,8/20/2017,John
149,Coding,Testing,Bug,Low,Completed,8/2/2017,8/21/2017,Victoria
150,Design,Coding,Inquiry,High,inProgress,8/3/2017,8/22/2017,Lindsey
151,Coding,Testing,Bug,Low,Completed,8/4/2017,8/23/2017,David
152,Testing,Field,Enhancement,Medium,Completed,8/5/2017,8/24/2017,Catherine
153,Design,Testing,Inquiry,Critical,Approved,8/6/2017,8/25/2017,Roy
154,Requirements,Coding,Bug,Critical,inProgress,8/7/2017,,Michelle
155,Requirements,Design,Inquiry,Low,Rejected,8/8/2017,3/19/2017,Roy
156,Testing,Field,Bug,Medium,Completed,8/9/2017,3/10/2017,John
157,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
158,Design,Testing,Enhancement,High,Approved,3/11/2017,3/12/2017,Joseph
159,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
160,Testing,Field,Bug,Low,Completed,2/13/2017,3/7/2017,Kim
161,Documentation,Field,Enhancement,Low,pendingReview,2/14/2017,,Sandy
162,Design,Testing,Bug,Low,Approved,2/15/2017,3/9/2017,David
163,Requirements,Coding,Bug,Low,inProgress,2/16/2017,,Adam
164,Requirements,Design,Inquiry,Low,Rejected,2/17/2017,3/11/2017,Smith
165,Testing,Field,Bug,Low,Completed,2/18/2017,3/12/2017,Joseph
166,Documentation,Field,Enhancement,Major,pendingReview,2/19/2017,,Roy
167,Design,Coding,Inquiry,Low,inProgress,2/20/2017,,John
168,Testing,Field,Bug,Medium,Completed,2/21/2017,3/15/2017,Michelle
169,Documentation,Field,Enhancement,Major,pendingReview,2/22/2017,,Roy
170,Design,Coding,Inquiry,High,inProgress,2/23/2017,,John
171,Coding,Testing,Bug,Low,Completed,2/24/2017,3/18/2017,Linda
172,Design,Coding,Inquiry,High,inProgress,2/25/2017,,Kyle
173,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/21/2017,Catherine
174,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
175,Testing,Field,Bug,Medium,Completed,2/27/2017,3/23/2017,Allison
176,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,3/24/2017,Roy
177,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
178,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,Linda
179,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
180,Coding,Testing,Bug,Low,Completed,3/4/2017,3/28/2017,David
181,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/29/2017,Catherine
182,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Daniel
183,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
184,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
185,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
186,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
187,Requirements,Design,Bug,Low,Rejected,3/8/2017,3/19/2017,Roy
188,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,Dan
189,Documentation,Field,Bug,Major,pendingReview,3/10/2017,3/11/2017,Jessica
190,Design,Testing,Bug,High,Approved,3/11/2017,,Stephanie
191,Requirements,Design,Bug,Low,Rejected,9/12/2017,9/17/2017,Smith
192,Testing,Field,Bug,Medium,Completed,9/13/2017,9/18/2017,Tara
193,Documentation,Field,Bug,Major,pendingReview,9/14/2017,,Linda
194,Design,Testing,Bug,Critical,Approved,9/15/2017,9/20/2017,Frank
195,Requirements,Coding,Bug,High,inProgress,9/16/2017,,Michelle
196,Requirements,Design,Bug,Low,Rejected,9/17/2017,9/22/2017,Smith
197,Testing,Field,Bug,Medium,Completed,9/18/2017,9/23/2017,Leslie
198,Documentation,Field,Enhancement,Major,pendingReview,9/19/2017,,Jeffery
199,Design,Coding,Inquiry,High,inProgress,9/20/2017,,John
200,Requirements,Testing,Bug,High,Completed,9/21/2017,9/26/2017,Lindsey
201,Testing,Field,Bug,Medium,Completed,9/22/2017,9/27/2017,Joseph
202,Documentation,Field,Enhancement,Major,pendingReview,9/23/2017,,Roy
203,Design,Coding,Inquiry,High,inProgress,9/24/2017,,Anthony
204,Coding,Testing,Bug,Low,Completed,9/25/2017,9/30/2017,Linda
205,Design,Testing,Inquiry,High,inProgress,9/26/2017,,Kathleen
206,Coding,Testing,Bug,Low,Completed,9/27/2017,10/2/2017,David
207,Testing,Field,Enhancement,Medium,Completed,9/28/2017,10/3/2017,Catherine
208,Design,Testing,Inquiry,Critical,Approved,9/29/2017,,Robert
209,Requirements,Coding,Bug,Critical,inProgress,9/30/2017,,Bridget
210,Requirements,Design,Inquiry,Low,Rejected,10/1/2017,10/6/2017,Richard
211,Testing,Field,Bug,Medium,Completed,10/2/2017,10/7/2017,Chris
212,Documentation,Field,Inquiry,Major,pendingReview,2/9/2017,,Jessica
213,Design,Testing,Enhancement,High,Approved,2/10/2017,,Carina
214,Requirements,Design,Inquiry,Low,Rejected,2/11/2017,3/13/2017,Smith
215,Testing,Field,Bug,Medium,Completed,2/12/2017,3/7/2017,Laurie
216,Documentation,Field,Enhancement,Major,pendingReview,2/13/2017,,Sandy
217,Design,Testing,Bug,Critical,Approved,2/14/2017,,Jacob
218,Requirements,Coding,Bug,High,inProgress,2/15/2017,,Kelly
219,Requirements,Design,Inquiry,Low,Rejected,2/16/2017,4/2/2017,Smith
220,Testing,Field,Bug,Medium,Completed,2/17/2017,4/9/2017,Nicole
221,Documentation,Field,Enhancement,Major,pendingReview,2/18/2017,,Michael
222,Design,Coding,Inquiry,Low,inProgress,1/11/2017,,Andrew
223,Testing,Field,Bug,Medium,Completed,10/12/2017,10/15/2017,Emily
224,Documentation,Field,Enhancement,Major,pendingReview,10/13/2017,,Roger
225,Design,Coding,Inquiry,High,inProgress,10/14/2017,,Justin
226,Coding,Testing,Bug,Low,Completed,10/15/2017,10/18/2017,Robert
227,Design,Coding,Inquiry,High,inProgress,10/16/2017,,Lindsey
228,Coding,Testing,Bug,Low,Completed,10/17/2017,10/20/2017,David
229,Testing,Field,Enhancement,Medium,Completed,10/18/2017,10/21/2017,Catherine
230,Design,Testing,Inquiry,Critical,Approved,10/19/2017,,Kevin
231,Testing,Field,Bug,Medium,Completed,10/20/2017,10/23/2017,Michelle
232,Documentation,Field,Enhancement,Major,pendingReview,10/21/2017,,Robert
233,Design,Coding,Inquiry,High,inProgress,10/22/2017,,Dennis
234,Coding,Testing,Bug,Low,Completed,10/23/2017,10/26/2017,William
235,Design,Coding,Inquiry,High,inProgress,10/24/2017,,Joseph
236,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Rose
237,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Clark
238,Design,Coding,Inquiry,High,inProgress,8/1/2017,,John
239,Coding,Testing,Bug,Low,Completed,8/2/2017,8/15/2017,Linda
240,Design,Coding,Inquiry,High,inProgress,8/3/2017,,Lindsey
241,Coding,Testing,Bug,Low,Completed,8/4/2017,8/17/2017,David
242,Testing,Field,Enhancement,Medium,Completed,8/5/2017,8/18/2017,Catherine
243,Design,Testing,Inquiry,Critical,Approved,8/6/2017,,Smith
244,Requirements,Coding,Bug,High,inProgress,8/7/2017,,Joseph
245,Requirements,Design,Inquiry,Low,Rejected,8/8/2017,8/21/2017,Leslie
246,Testing,Field,Bug,Medium,Completed,8/9/2017,8/22/2017,John
247,Documentation,Field,Inquiry,Major,pendingReview,8/10/2017,,Jessica
248,Design,Testing,Enhancement,High,Approved,8/11/2017,8/24/2017,Christopher
249,Requirements,Design,Inquiry,Low,Rejected,8/12/2017,8/25/2017,Smith
250,Testing,Field,Bug,Medium,Completed,8/13/2017,8/26/2017,Kim
251,Documentation,Field,Enhancement,Major,pendingReview,8/14/2017,,Linda
252,Design,Testing,Inquiry,Critical,Approved,8/15/2017,8/28/2017,David
253,Requirements,Coding,Bug,High,inProgress,8/16/2017,,Alexander
254,Requirements,Coding,Inquiry,Low,Rejected,8/17/2017,8/30/2017,Smith
255,Testing,Field,Bug,Medium,Completed,8/18/2017,8/31/2017,James
256,Documentation,Field,Enhancement,Major,pendingReview,8/19/2017,,Alyssa
257,Requirements,Testing,Bug,High,Completed,8/20/2017,9/2/2017,Lindsey
258,Testing,Field,Bug,Medium,Completed,8/21/2017,9/3/2017,Joseph
259,Documentation,Field,Enhancement,Major,pendingReview,8/22/2017,,Roy
260,Design,Coding,Inquiry,High,inProgress,8/23/2017,,John
261,Coding,Testing,Bug,Low,Completed,8/24/2017,9/6/2017,Linda
262,Design,Coding,Inquiry,High,inProgress,8/25/2017,,Lindsey
263,Coding,Testing,Bug,Low,Completed,8/26/2017,9/8/2017,David
264,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
265,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
266,Requirements,Coding,Bug,Critical,inProgress,3/7/2017,,Michelle
267,Requirements,Design,Inquiry,Low,Rejected,11/8/2017,11/19/2017,Roy
268,Testing,Field,Bug,Medium,Completed,11/9/2017,11/20/2017,John
269,Documentation,Field,Inquiry,Major,pendingReview,11/10/2017,,Jessica
270,Design,Testing,Enhancement,High,Approved,11/11/2017,,Joseph
271,Requirements,Design,Inquiry,Low,Rejected,11/12/2017,11/13/2017,Smith
272,Testing,Field,Bug,Medium,Completed,11/13/2017,11/14/2017,Kim
273,Documentation,Field,Enhancement,Major,pendingReview,11/14/2017,,Sandy
274,Design,Testing,Bug,Critical,Approved,11/15/2017,,David
275,Requirements,Coding,Bug,High,inProgress,11/16/2017,,Michelle
276,Requirements,Design,Inquiry,Low,Rejected,11/17/2017,,Smith
277,Testing,Field,Bug,Medium,Completed,11/18/2017,12/12/2017,Joseph
278,Documentation,Field,Enhancement,Major,pendingReview,11/19/2017,,Roy
279,Design,Coding,Inquiry,Low,inProgress,11/20/2017,,John
280,Testing,Field,Bug,Medium,Completed,11/21/2017,12/15/2017,Michelle
281,Documentation,Field,Enhancement,Major,pendingReview,11/22/2017,,Roy
282,Design,Coding,Inquiry,High,inProgress,11/23/2017,,John
283,Coding,Testing,Bug,Low,Completed,11/24/2017,12/18/2017,Linda
284,Design,Coding,Inquiry,High,inProgress,11/25/2017,,Lindsey
285,Coding,Testing,Bug,Low,Completed,3/4/2017,3/20/2017,David
286,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/21/2017,Catherine
287,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Alyssa
288,Testing,Field,Bug,Medium,Completed,2/27/2017,3/23/2017,Michelle
289,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
290,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
291,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,Linda
292,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
293,Coding,Testing,Bug,Low,Completed,3/4/2017,3/28/2017,David
294,Testing,Field,Enhancement,Medium,Completed,3/5/2017,,Catherine
295,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
296,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
297,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Rose
298,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
299,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
300,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,,Roy
301,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
302,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
303,Design,Testing,Enhancement,High,Approved,3/11/2017,,Michelle
304,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
305,Testing,Field,Bug,Medium,Completed,3/13/2017,3/14/2017,Kim
306,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
307,Design,Testing,Inquiry,Critical,Approved,3/15/2017,,David
308,Requirements,Coding,Bug,High,inProgress,3/16/2017,,Michelle
309,Requirements,Design,Inquiry,Low,Rejected,3/17/2017,3/25/2017,Smith
310,Testing,Field,Bug,Medium,Completed,3/18/2017,3/26/2017,Michelle
311,Documentation,Field,Enhancement,Major,pendingReview,3/19/2017,,Roy
312,Design,Coding,Inquiry,High,inProgress,3/20/2017,,Kristen
313,Requirements,Testing,Bug,High,Completed,3/17/2017,3/25/2017,Lindsey
314,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Joseph
315,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Mark
316,Design,Coding,Inquiry,High,inProgress,3/1/2017,3/20/2017,James
317,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Rose
318,Design,Coding,Inquiry,High,inProgress,3/3/2017,3/4/2017,Lindsey
319,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
320,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Kristen
321,Design,Testing,Inquiry,Critical,Approved,8/6/2017,,Robert
322,Requirements,Coding,Bug,Critical,inProgress,8/7/2017,,Michelle
323,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
324,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
325,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
326,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
327,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
328,Testing,Field,Bug,Medium,Completed,2/13/2017,3/7/2017,Kim
329,Documentation,Field,Enhancement,Major,pendingReview,1/5/2017,,Sandy
330,Design,Testing,Bug,Critical,Approved,1/6/2017,,David
331,Requirements,Coding,Bug,High,inProgress,1/7/2017,,Michelle
332,Requirements,Design,Inquiry,Low,Rejected,1/8/2017,4/3/2017,Jeremy
333,Testing,Field,Bug,Medium,Completed,1/9/2017,4/10/2017,Joseph
334,Documentation,Field,Enhancement,Major,pendingReview,10/10/2017,,Roy
335,Design,Coding,Inquiry,Low,inProgress,10/11/2017,,Zachary
336,Testing,Field,Bug,Medium,Completed,10/12/2017,10/15/2017,Tamara
337,Documentation,Field,Enhancement,Major,pendingReview,10/13/2017,,Eric
338,Design,Coding,Inquiry,High,inProgress,10/14/2017,,John
339,Coding,Testing,Bug,Low,Completed,10/15/2017,10/18/2017,Robert
340,Design,Coding,Inquiry,High,inProgress,10/16/2017,,Lindsey
341,Coding,Testing,Bug,Low,Completed,10/17/2017,10/20/2017,David
342,Testing,Field,Enhancement,Medium,Completed,10/18/2017,10/21/2017,Catherinee
343,Design,Testing,Inquiry,Critical,Approved,10/19/2017,10/22/2017,Ryan
344,Testing,Field,Bug,Medium,Completed,10/20/2017,,Michelle
345,Documentation,Field,Enhancement,Major,pendingReview,10/21/2017,,Robert
346,Design,Coding,Inquiry,High,inProgress,10/22/2017,,Christopher
347,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,William
348,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
349,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Michelle
350,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Brent
351,Design,Coding,Inquiry,High,inProgress,3/1/2017,,Orlando
352,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
353,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
354,Coding,Testing,Bug,Low,Completed,12/4/2017,12/15/2017,David
355,Testing,Field,Enhancement,Medium,Completed,12/5/2017,12/16/2017,Catherinee
356,Design,Testing,Inquiry,Critical,Approved,12/6/2017,,Smith
357,Requirements,Coding,Inquiry,High,inProgress,12/7/2017,,Joseph
358,Requirements,Design,Inquiry,Low,Rejected,12/8/2017,12/19/2017,Victor
359,Testing,Field,Inquiry,Medium,Completed,12/9/2017,12/20/2017,Justin
360,Documentation,Field,Inquiry,Major,pendingReview,12/10/2017,,Jessica
361,Design,Testing,Enhancement,High,Approved,12/11/2017,,Michelle
362,Requirements,Design,Inquiry,Low,Rejected,12/12/2017,12/13/2017,Smith
363,Testing,Field,Bug,Medium,Completed,12/13/2017,12/14/2017,Kim
364,Documentation,Field,Enhancement,Major,pendingReview,12/14/2017,,Linda
365,Design,Testing,Inquiry,Critical,Approved,12/15/2017,,David
366,Requirements,Coding,Bug,High,inProgress,12/16/2017,,Michelle
367,Requirements,Design,Inquiry,Low,Rejected,12/17/2017,3/25/2017,Smith
368,Testing,Field,Bug,Medium,Completed,12/18/2017,3/26/2017,Michelle
369,Documentation,Field,Enhancement,Major,pendingReview,12/19/2017,,Roy
